"entity_id","sport_code","sport_desc","sport_particip_code","sport_participation_desc","start_dt","stop_dt"
831934,"WAWP","Water Polo - Women","P","Participated","2004-08-01 00:00:00","2008-05-22 00:00:00"
831958,"RSBL","Cal Ballroom Dancing Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
832363,"MATL","Track & Field - Men","P","Participated",NULL,NULL
832363,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
832389,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
832389,"MATL","Track & Field - Men","P","Participated",NULL,NULL
832400,"WACC","WIA Track/Cross Country","P","Participated",NULL,NULL
832400,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
832407,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
832407,"MATL","Track & Field - Men","P","Participated",NULL,NULL
832558,"RSIH","Cal Ice Hockey Club","P","Participated","2001-08-01 00:00:00","2005-05-31 00:00:00"
832593,"RSTC","Cal Triathlon Club","P","Participated","2003-01-01 00:00:00","2008-12-31 00:00:00"
832674,"RSIH","Cal Ice Hockey Club","P","Participated","2001-08-01 00:00:00","2005-05-31 00:00:00"
832923,"MAFL","Football - Men","P","Participated",NULL,NULL
832923,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
833048,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
833048,"WACW","Crew - Women","P","Participated",NULL,NULL
833173,"RSTC","Cal Triathlon Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
833173,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
833173,"MACC","Crew - Men","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
833179,"RSBD","Cal Badminton Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
833358,"MARU","Rugby - Men","P","Participated","2006-08-01 00:00:00","2010-05-14 00:00:00"
833358,"ICA","Intercollegiate Athlete","P","Participated","2006-08-01 00:00:00","2010-05-14 00:00:00"
833410,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
833410,"MAWP","Water Polo - Men","P","Participated","2005-08-01 00:00:00","2010-05-14 00:00:00"
833430,"WACW","Crew - Women","P","Participated",NULL,NULL
833430,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
833464,"WACW","Crew - Women","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
833464,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
833491,"RSCW","Cal Lightweight Crew Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
833532,"RSUM","Cal Ultimate Club - Men","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
833565,"RSBX","Cal Boxing Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
833681,"MATN","Tennis - Men","P","Participated",NULL,NULL
833681,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
833764,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
834123,"ICA","Intercollegiate Athlete","P","Participated","2001-08-01 00:00:00","2005-05-31 00:00:00"
834123,"MACC","Crew - Men","P","Participated","2001-08-01 00:00:00","2005-05-31 00:00:00"
834309,"MAFL","Football - Men","P","Participated",NULL,NULL
834309,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
834316,"MARU","Rugby - Men","P","Participated",NULL,NULL
834316,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
834846,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
834846,"MABS","Baseball - Men","P","Participated",NULL,NULL
835492,"RSCY","Cal Cycling Club","P","Participated","2003-01-01 00:00:00","2008-12-31 00:00:00"
836065,"WALC","Lacrosse - Women","P","Participated",NULL,NULL
836065,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
836125,"ICA","Intercollegiate Athlete","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
836125,"WAWP","Water Polo - Women","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
836189,"RSAR","Cal Archery Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
836239,"ICA","Intercollegiate Athlete","P","Participated",NULL,NULL
836239,"MACC","Crew - Men","P","Participated",NULL,NULL
836245,"RSUM","Cal Ultimate Club - Men","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
836252,"ICA","Intercollegiate Athlete","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
836252,"WAVB","Volleyball - Women","P","Participated","2005-08-01 00:00:00","2009-05-21 00:00:00"
836336,"RSAR","Cal Archery Club","P","Participated","2008-01-01 00:00:00","2009-12-31 00:00:00"
