"entity_id","awd_honor_code","awd_honor_desc","awd_honor_dt"
115663,"PBK","Phi Beta Kappa",NULL
115733,"PBK","Phi Beta Kappa",NULL
115734,"CAL","CAA Leadership Award Scholar",NULL
115861,"RSA","Regents' Scholar-Aid Recipient",NULL
115861,"UMR","University Medal Recipient",NULL
115873,"CAL","CAA Leadership Award Scholar",NULL
116008,"OLY","Olympic Gold Medal","2011-03-10 00:00:00"
116049,"PBK","Phi Beta Kappa",NULL
116129,"PBK","Phi Beta Kappa",NULL
116129,"CAL","CAA Leadership Award Scholar",NULL
116249,"PBK","Phi Beta Kappa",NULL
116300,"CAL","CAA Leadership Award Scholar",NULL
116334,"PBK","Phi Beta Kappa",NULL
116381,"PBK","Phi Beta Kappa",NULL
116381,"CAL","CAA Leadership Award Scholar",NULL
116474,"CAL","CAA Leadership Award Scholar",NULL
116532,"PBK","Phi Beta Kappa",NULL
116620,"PBK","Phi Beta Kappa",NULL
116629,"PBK","Phi Beta Kappa",NULL
116631,"PBK","Phi Beta Kappa",NULL
116667,"CAL","CAA Leadership Award Scholar",NULL
116676,"PBK","Phi Beta Kappa",NULL
116795,"CAL","CAA Leadership Award Scholar",NULL
116858,"PBK","Phi Beta Kappa",NULL
116959,"PBK","Phi Beta Kappa",NULL
117025,"PBK","Phi Beta Kappa",NULL
117050,"ENA","Distinguished Engr Alumni Award",NULL
117084,"PBK","Phi Beta Kappa",NULL
117154,"CAL","CAA Leadership Award Scholar",NULL
117167,"PBK","Phi Beta Kappa",NULL
117243,"PBK","Phi Beta Kappa",NULL
117305,"PBK","Phi Beta Kappa",NULL
117332,"PBK","Phi Beta Kappa",NULL
117349,"PBK","Phi Beta Kappa",NULL
117380,"CAL","CAA Leadership Award Scholar",NULL
117494,"PBK","Phi Beta Kappa",NULL
117522,"PBK","Phi Beta Kappa",NULL
117541,"CAL","CAA Leadership Award Scholar",NULL
117596,"PBK","Phi Beta Kappa",NULL
117596,"CAL","CAA Leadership Award Scholar",NULL
117700,"CAL","CAA Leadership Award Scholar",NULL
117751,"CAL","CAA Leadership Award Scholar",NULL
117784,"CAL","CAA Leadership Award Scholar",NULL
117918,"CAL","CAA Leadership Award Scholar",NULL
117980,"PBK","Phi Beta Kappa",NULL
117980,"CAL","CAA Leadership Award Scholar",NULL
118059,"PBK","Phi Beta Kappa",NULL
118123,"CAL","CAA Leadership Award Scholar",NULL
118124,"PBK","Phi Beta Kappa",NULL
118212,"PBK","Phi Beta Kappa",NULL
118258,"PBK","Phi Beta Kappa",NULL
118334,"PBK","Phi Beta Kappa",NULL
118393,"CAL","CAA Leadership Award Scholar",NULL
118442,"BCA","Berkeley Citation Award",NULL
118472,"PBK","Phi Beta Kappa",NULL
118676,"CAT","CAA Distinguished Teaching Award",NULL
118808,"CAC","CAA Alumni Citation",NULL
118816,"RSH","Regents' Scholar-Honorarium Recipnt",NULL
118816,"PBK","Phi Beta Kappa",NULL
118927,"PBK","Phi Beta Kappa",NULL
118987,"CAL","CAA Leadership Award Scholar",NULL
119012,"PBK","Phi Beta Kappa",NULL
119067,"CAL","CAA Leadership Award Scholar",NULL
119091,"CAL","CAA Leadership Award Scholar",NULL
119094,"PBK","Phi Beta Kappa",NULL
119102,"PBK","Phi Beta Kappa",NULL
119121,"PBK","Phi Beta Kappa",NULL
119122,"CAL","CAA Leadership Award Scholar",NULL
119126,"CAL","CAA Leadership Award Scholar",NULL
119156,"CAL","CAA Leadership Award Scholar",NULL
119161,"PBK","Phi Beta Kappa",NULL
119193,"RSH","Regents' Scholar-Honorarium Recipnt",NULL
119193,"PBK","Phi Beta Kappa",NULL
119193,"CAL","CAA Leadership Award Scholar",NULL
119198,"PBK","Phi Beta Kappa",NULL
119202,"CAL","CAA Leadership Award Scholar",NULL
119221,"PBK","Phi Beta Kappa",NULL
119288,"PBK","Phi Beta Kappa",NULL
119420,"PBK","Phi Beta Kappa",NULL
119453,"PBK","Phi Beta Kappa",NULL
119479,"CAL","CAA Leadership Award Scholar",NULL
119697,"HHS","Cal Hall Honor Society (Ex. 46-53)",NULL
119931,"BCA","Berkeley Citation Award",NULL
120037,"PBK","Phi Beta Kappa",NULL
120158,"CAL","CAA Leadership Award Scholar",NULL
120172,"RSA","Regents' Scholar-Aid Recipient",NULL
120172,"PBK","Phi Beta Kappa",NULL
120330,"PBK","Phi Beta Kappa",NULL
120464,"PBK","Phi Beta Kappa",NULL
120476,"RSH","Regents' Scholar-Honorarium Recipnt",NULL
120498,"PBK","Phi Beta Kappa",NULL
120502,"CAL","CAA Leadership Award Scholar",NULL
120537,"PBK","Phi Beta Kappa",NULL
120546,"CAL","CAA Leadership Award Scholar",NULL
120573,"RSH","Regents' Scholar-Honorarium Recipnt",NULL
120573,"PBK","Phi Beta Kappa",NULL
120617,"PBK","Phi Beta Kappa",NULL
120635,"RSA","Regents' Scholar-Aid Recipient",NULL
120635,"PBK","Phi Beta Kappa",NULL
120638,"PBK","Phi Beta Kappa",NULL
120649,"CAL","CAA Leadership Award Scholar",NULL
120679,"CAL","CAA Leadership Award Scholar",NULL
